,Tweets,Etiquetas
694,Mientras la mesa decide sobre amaiur sus diputados esperan en los sillones de un hall del congreso. Aun no tienen despacho,NONE
695,"+1 RT @jmbescos:que entreguen las armas, que se entreguen ellos y que pidan perdón a las víctimas. Sólo entonces hablaremos",N
696,@anapastor_tve si acaban de confirmarmelo. El psoe dice q el informe es infumable,N+
697,Cobrará ? Ecologistas piden la dimisión de Felipe González por su ausencia en dos consejos de Doñana http://t.co/i7y0yNQq,N+
698,El @PPopular  designa oficialmente a Javier Arenas como candidato a la Junta http://t.co/tCJCNGAh . Vamos @JavierArenas_pp #ahoraAndalucia,P
699,Un amigo de Urdangarin en Palacio. http://t.co/DA3XmBLq,NONE
700,Espero que PSOE no se ponga de canto con el tema AMAIUR. O a favor o en contra. Pronto empezamos a no ser claros si no.,N
701,"@antoniosanz : @PepeGrinan ""falta el respeto"" e ""insulta"" a la juez del caso ERE al decir que está siendo ""manipulada"" http://t.co/4R5hQzjo",N
702,"Que grande es Pablo Motos, me lo hace pasar muy bien en su programa!",P+
703,Ciu tb. Se abstiene pero sin entrar en el debate. Me dicen q Rubalcaba en contra de opinión de zp ha cambiado el voto en el ult momento,NONE
704,Si queréis hacer comentarios en el programa podéis mandar vuestros tuits a @MundoaCuestas #VEOTV,NONE
705,“@Magitorras: @Edurnity no te puede pegar más ese perro! parece un peluche”siiiii jajajja!!,P+
706,Ya se ha votado:5 en contra (pp) y 4 abstenciones (psoe y CiU) . Amaiur no tendrá grupo. La reunión sigue,NONE
707,"Final reunión Mesa del Congreso. Grupos constituidos: PP, PSOE, CiU, IU+ERC, UPyD+Foro, PNV, Mixto.",NONE
708,Amaiur no tendra grupo propio por la oposicion del @PPopular. @PSOE  se abstiene porque el informe jurídico no lleva lleva membrete oficial,NONE
709,"La Mesa no ha tenido en cuenta que no haya prometido la Constitución el diputado navarro de Amaiur. Villalobos, PP, ""el truco no ha servido""",N
710,"Rajoy habla ya de que tomará medidas ""no gratas"" y dice que seIncumple promesas lo explicaráhttp://t.co/lYI9dhc8",N
711,Me encanta  - I rated Mad Men S04E13 ★★★★☆. http://t.co/F2wT2dOm,P+
712,@Juandecolmenero No lo he visto. A ellos les parece ambiguo y dicen q no lleva membrete oficial.,N
713,@Juandecolmenero @rodrigoblazquez no va firmado,NONE
714,"Según PSOE, el informe jurídico sobre AMAIUR no es ""concluyente"".",NONE
715,"Amaiur da su versión: Errekondo, Amaiur, ""la decisión ha sido exclusivamente política...la base es muy frágil""",NEU
716,"A las primeras 500 solicitudes recibidas se les enviara una especie de ""entrada"" para acceder al ""evento"".#merendolatuitera",P+
717,Nueva entrada: 'Atrapa un millón' http://t.co/AiIdknfq,NONE
718,"Hasta mañana, que hay que levantarse muy pronto...",NONE
719,Aquí os dejo la portada de hoy viernes 16 de diciembre. Saludos a todos http://t.co/Ko0yl9xX,NONE
720,;-) amor al arte y a ella RT @juandiguerrero: @naranjoisabel ¡Enhorabuena! Has hecho muy buen contratando a @mariviromero para esta misión.,P+
721,Buenos días. Estudiando la prensa en @ABCPuntoRadio.,NONE
722,Amaiur no cumple los requisitos y no tendrá grupo parlamentario,N
723,Gracias a todos x tanto amor y felicitaciones! Feliz navidad! Los quiero a muerte!,P+
724,Portada El Mundo http://t.co/WtEHp008 ...,NONE
725,Rajoy cumplirá con el Déficit y los recortes impopulares. No cumple con los ciudadanos ni siquiera con su nombre. Mercados contra ciudadanos,N+
726,Portada Público http://t.co/GF6fVKBK ...,NONE
727,Portada La Gaceta http://t.co/09yZq4pV ...,NONE
728,"La forma de convertir el cese de la violencia de ETA en irreversible, es el estado de derecho, pero también la política en el Congreso.",N
729,Rusia y también China proponen condena de Siria en la ONU. Al fin !!,N
730,El círculo quedará completo. @Pedroj_ramirez también presentará su obra #ElPrimerNaufragio en Logroño. Su ciudad noo podía quedarse fuera.,NONE
731,Xq los socialistas retrasaron la reunión de la mesa del Congreso? Necesitaban consultar con jefatura? X eso estaban pegados al teléfono?,N
732,Los bancos se financian al 1%  BCE. Compran bonos  que proporcionan 4%.No parece mal negocio.Se fortalecen.Y el crédito a la economía real?,NEU
733,Voy a la UCM a charlar un rato. A ver si nos lo pasamos bien.,P
734,"92 meses del Gobierno de Zapatero y... «¡ay, cómo hemos cambiado!» - ABC.es http://t.co/MFZyEPN9 via @abc_es",NONE
735,Me avisan q el Consejo de Ministros puede llevar novedades en torno al Valle de los Caidos. Atentos!,P+
736,"La nueva versión del pensamiento Marxista (el de Groucho Marx): si no te gusta mi informe juridico, tengo otro http://t.co/bENdThoN",NEU
737,"Pero realmente hay políticos 2.0? Me temo que no, hay políticos que usan las redes sociales, pero sin creer en ellas #jornadaucjcsep",NEU
738,"Interesante charla de Salomé Berrocal, muy práctica y con datos sobre el #infoentretenimiento #jornadaucjcsep",P+
739,Aún no sabemos los términos del indulto de @libertadmontes a ver si el Gobierno lo cuenta pronto y podemos ver cuándo puede salir Miguel.,N
740,La población en España asciende a 47.100.000 personas http://t.co/HXi3Y0nn,NONE
741,"Corría el rumor d q el ministro d Economía iba a ser Luis Garicano, catedrático en la London School. Pero me lo desmiente quien lo sabe",N
742,El Gobierno indulta a Montes. Me alegro. http://t.co/6ZtFWDYs,P+
743,"Por si a alguien no le queda claro, además: Rajoy no se sentará con Amaiur libertaddigital.com/nacional/2011-… vía @libertaddigital",N
744,"El Gobierno indulta ""algunas de las penas"" del preso común más antiguo de España http://t.co/6KiDOsMK",N
745,La población española se estanca http://t.co/Yoy6GG25,N
746,"Será un placer, MJ. “@jesurf69: @pedroj_ramirez que emocion dentro de poco me van a firmar mi libro”",P+
747,Que gran homenaje a la gran Lina Morgan acabo de ver en una revista... http://t.co/VOMqR1g2,P+
748,Un partido de leyenda http://t.co/Wojj1sxs vía @elmundoes Felcidades por esta columna. Qué recuerdos tan buenos,P+
749,"Exagerada! “@piratascojos: venga iré, pero si no te importa llevaré solo el forro de #Elprimernaufragio, ando un poco mal de la espalda...”",NEU
750,"Que buena noticia. ;) RT @FeerAlvizar: Primer  concierto, en que no pude sacar mi camara porque no (cont) http://t.co/SfQ7Taic",N
751,Un beso a las dos. Genial. ;) RT @dariela2311: @AlejandroSanz Increible cierre de gira mi hija (cont) http://t.co/LNrGe4nt,P+
752,Gracias amigo. Un abrazo RT @RogerBarra: @AlejandroSanz Excelente concierto en Veracruz!,P+
753,"Gracias a ti. Un besazo RT @carmencarterPTz: @AlejandroSanz Me hiciste el dia, la noche y el mes...GRACIAS excelente concierto ♥",P+
754,Hoy toca disfutar de un amigo... @danimartinezweb !!,P+
755,“@antonio_cano_: Se busca Consejero Delegado para The New York Times. http://t.co/Yqdd3O3a”,NONE
756,*7714 @OscarCruzVM era para ver si estaban pendientes.,NONE
757,Amaiur  presenta su recurso ante la mesa. Dicen que se ha hecho una interpretación arbitraria y discrecional del 15 por ciento necesario.,N+
758,#FF prenavideño para @jesusmarana que no sólo dirige con solvencia sino que además sirve copas con insólita habilidad. Palabra,P+
759,En Periodistas 21: Medios hiperpersonalizados http://t.co/OQxo9GQk,NONE
760,"Os dejo una fotito de las botas nuevas, listas para mañana. http://t.co/9Yo6IQIJ",P+
761,"Muy alto. “@LMeseguer: @pedroj_ramirez ¿Qué % de ""culpa"" tiene Twitter en las ventas de #ElPrimerNaufragio?”",NONE
762,Ya no existe razón para que la Generalitat alegue problemas financieros para no pagar nóminas. Se lo explicamos en @TelediarioInter 20:30,NEU
763,Hasta la prox. VERACRUZ... Gracias..,P+
764,Muy buena columna en ElPaís de @jitorreblanca. Recomiendo.,P+
765,RT @opiniondemalaga: Zapatero ganará 150.000 euros como consejero y expresidente http://t.co/Iy82FH5P,P+
766,"En la calle Claudio Coello esquina Goya. Manifestación facha ""Patria, justicia, Revolución"" http://t.co/r7exnAC0",N+
767,@ccifuentes @luisfernandez @albert_rivera @jordi_canyas @franhervias @alcaldejun ;-)) abrazote,P+
768,"En la Cena de Navidad del PP de Marratxí, con los compañeros de siempre, compartiendo un rato juntos, @mgarciagual, Miguel Ramis y R.Bosch.",P
769,"Después de visitarme la familia en especial mi sobrina Daniela, me duermo viendo el reportaje de un grande del flamenco, Enrique Morente.",P+
770,Buenas noches FAMILIA!!! mañana a disfrutar del sábado! ,P+
771,"Un año después, la #PrimaveraÁrabe sigue inacabada. Y mañana con EL PERIÓDICO, DVD del Madrid-Barça (1-3).http://t.co/xO65s55U#portadaEPC",NONE
772,Vamos igual q el hizo con la crisis del Tequila . Era Zedillo quien mandaba. La situación es similar para Rajoy ahora. @hermanntertsch,N+
773,"Lo que me dieron como premio por  ""declamar"" malamente  http://t.co/9mRgiMfw a Quevedo. Pero gracias;) http://t.co/JkdFGtu7",P
774,"Para futboleros: mañana, opcional con 'Público', el último R. Madrid - Barça en DVD.",NONE
775,muy muy positivo ;-)) “@adelautrera: @mariahuelin @mariviromero #akelarrepositivo”,P+
776,"Rumania y Bélgica, gracias por vuestra visita a Málaga. http://t.co/7BjTruig",P+
777,Así es RT @GerardCD: La ignorancia es lo contrario a la libertad.,NEU
778,cena en Berlín interesantísima .Conocer la posición del otro. Empresarios importantes. Podríamos entendernos.Ellos no ven la crisis .,P+
779,"Curiosidad del insomne: si alguien conocía desde 2007 operaciones irregulares de Urdangarin, ¿no estaba obligado a denunciarlas?",N+
780,"Ahora rumbo a México , feliz por Teleton ! Abrazo ! Gracias Colombia !",P+
781,Recordademos lo obvio: si las empresas no tienen demanda (crecimiento) no emplean a ningún precio.,N+
782,Grupos radicales de izquierda mandan balas a Monti.  http://t.co/6WpKFqBf  Espero que la izquierda no caiga en la tentación de la violencia.,N
783,Historia positiva para dar los buenos días“ El marroquí que devolvió 400 décimos  protagoniza el anuncio de Coca-Cola http://t.co/MVIIa6Fe”,P+
784,"Por lo que veo, la respuesta de la derecha a los recortes sociales q preparan va a ser; ""tú, calla! que eres socialista!"". GRAN argumento...",N
785,Hoy cerramos las jornadas para el Cambio y el Empleo en Granada con los ecos de un gran discurso de Javier Arenas con propuestas y esperanza,P+
786,¿El Ayto de Madrid volverá a trasladar estaciones d medición al campo para seguir maquillando los datos d #boinanegra? http://t.co/cReoTWwo,N
787,"Arguiñano, dietas: ""El cerdo salva más vidas que la penicilina"". Investigadores, experimentos: ""El ratón es el mejor amigo del hombre""",P+
788,Tutiteando desde Flipboard ;-)))),P
789,Veo que @AlfonsoAlonsoPP estrena cuenta en twitter. Os dejo la entrevista de nuevo: http://t.co/XC3X08cc,NONE
790,"Lo de Urdangarín no ha pillado por sorpresa a la Casa Real. En 2007 trató de poner sus asuntos ""en orden"" http://t.co/1PHJyL6I",NEU
791,La Casa del Rey aconsejó a Urdangarín que dejara Noos y cambiara de actividad (fuentes de la Casa del Rey a EFE),NONE
792,"Sobre Mario Draghi y su ""reconversión"" alemana.Le monde http://t.co/URx8e5ee",NONE
793,En sevilla ratificaremos nuestra condición d lideres y mañana neymar nos hara disfrutar mucho,P
794,Y la hare desde el foro de @LaVozMexico para que conozcais gente y los interiores del programa. RT (cont) http://t.co/gjXje0sS,NONE
795,Es verdad que el sábado por la tarde se rompen muchas parejas pero se pierden mas paraguas si llueve.,N
796,"""Hemos trabajado sin injerencias políticas ni económicas ni de ningún tipo, hemos tenido total libertad"", afirma @LeticiaIG #cafeperiodismo",P+
797,Vuelve a salir otra vez el tema de periodismo clásico vs redes sociales #cafeperiodismo,NONE
798,"Como 'Saudade' d Évora, otra canción mil vecs n mi coche: Kumbayá A mi hija l ncntba d niña. Busca n Youtube y origen n Wik Maravillosa!",NONE
799,"Primer Premio Fotografía, en la XII edición Premios Culturas de Extremadura, para  Minerva Mateos http://t.co/RnzEWlPB",P+
800,"Antes de desmontar la estantería q acabo de montar, el congreso del PSC ha sido un triunfo total de C. Chacón (o sea, de su candidato)",P+
801,El merito civico.Medalla Contitucional postuma a Javier Pradera. http://t.co/IYRKi2ro,P+
802,"@RV1805 @RdscubreNavidad Es una pasion navideña! Y dentro de una semana os enseñare el mio, con figuras de 21 cm. Besos",P+
803,"En la XII edición Premios Culturas de Extremadura, galardón para El Chojín...",P+
804,No me lo esperaba tan pronto!.Crisis politica en Irak.Segunda fuerza politica abandona la colaboracion.A15 dias de la retirada tropas US...,N+
805,"Tomo nota de las recomendaciones que me hacéis.Me bajaré Pages ,porque sincroniza con I Cloud, y probaré algún otro recomendado. Gracias!",P+
806,Golazo en gran jugada de Di Maria con Cristiano. ¿Pero por qué no hacen eso con el Barça?,P
807,"Muy hábil Callejón. El se merece el gol, pero el Madrid no se merece ir ganando por dos.",NEU
808,"Enhorabuena, @martajcs @epicuro7, madridistas amigos.Para el Sevilla ha habido mala suerte pq ha jugado bien. Aunq Casillas y CR máquinas!",P+
809,Di Maria en estado de gracia. Magnífico Madrid... Menos con el Barça.,P
810,"Lo que hereda Rajoy. Encuesta de Metroscopia para ELPAIS sobre el pesimismo ciudadano y la opinión ante los recortes,Amaiur y Urdangarin.",N+
811,Golpe d autoridad del madruid en el pizjuan,P
812,"Lo eres, lo eres, dear. “@sucializ: @pedroj_ @madrileno85_ ¡¡Muy pocas veces me han llamado Princesa!! Ya no quedan Caballeros, mon amour.”",NONE
813,SEVILLA 2 - REAL MADRID 6 #HALAMADRID (@ Estadio Ramón Sánchez-Pizjuán w/ 22 others) http://t.co/Gyu0Vfuu,NONE
814,"@julia_otero @radiocable Hay un laboratorio muy serio en Cantabria q elabora cremas con baba d caracol, q se usan post-quimio",P+
815,"Mirad, aquí está el videocapítulo de Málaga   http://t.co/0f7JznS8Espero que os guste",P+
816,"Muchas gracias por todas las felicitaciones del fondo del alma. Gracias. Obrigado,",P+
817,Domingo y he visto amanecer! Precioso! Un beso Judith de mi corazón.... tú sabes!! y a los demás feliz domingo!,P+
818,"Despacio, en paz  http://t.co/AQKTSxq4 via @elmundoes Descansa en paz Cesaria",NONE
819,Historias de un Blog. http://t.co/ivo4QCuI vía @GFVara,NONE
820,Convulsiones que marcan toda una vida http://t.co/Tw7Yq8U4 via @elmundoes,N
821,. @elias Bendodo propone que las diputaciones asuman la administración periférica de la Junta http://t.co/5Glp1WJ8 via @elmundoes,NONE
822,abc.es: Un 40% de los niños sufre bronquiolitis http://t.co/McjDYuTs,N
823,"El Talismán by Rosana, from #SoundHound http://t.co/mRZl6vma",NONE
824,"Afectados por la huelga de pilotos de Iberia podrán reclamar la devolución del billete, según FUCI http://t.co/Z6uV4bzM",P
825,OS ANIMO A PARTICIPAR/US ANIMO A PARTICIPAR-HI  #maratotv3 http://t.co/VktqAeck,P+
826,El alcalde del pp en Vitoria en contra de la #IlegalizaciónAmaiur,NONE
827,"Menos mal k ayer ya vimos futbol serio. Lo d hoy es d broma,",NEU
828,"Marcelino Iglesias en el #congrespsc ""en la política como en la vida hace falta mucho trabajo y un poco de suerte"" http://t.co/a5qQuIpB",P+
829,En el Comité Regional del PSM PSOE trabajando por un futuro mejor,P+
830,#Barçacampiódelmón Con 9 chicos de la cantera!,P+
831,"Con @pacodelatorrep en la ermita de la Virgen de la Paloma de Mangas Verdes , Patrona de Verdiales http://t.co/6VFuG257",NONE
832,"Ha muerto Václav Havel, referencia moral para la izquierda europea. Resistió en los malos momentos y no abandonó los ideales en los buenos",N
833,En el Dinar de Nadal de la Gent Gran de Marratxí. Más de 600 personas que han luchado durante toda su vida por darle lo mejor a sus hijos.,P+
834,En el encuentro de Navidad del @ppmalaga http://t.co/ubMe2lSn,NONE
835,Vaclav Havel nos deja. Un político con la fuerza de la moral y reivindicador de la sociedad civil contra todo abuso http://t.co/cAKHLJvl.,N
836,Los retos urgentes de las entidades locales y el papel de la FEMP http://t.co/4EOOg9c4,NONE
837,"""El paciente implicado, por Ana PASTOR"" LARAZON.ES en http://t.co/0mzuUoAC",NONE
838,"Después de la prueba de esta mañana, tengo una pequeña rotura de fibras (grado 1). Espero volver cuanto antes. Un saludos a tod@s.",N
839,Mañana en #losdesayunosdetve todos los detalles del debate d investidura d Rajoy y en el plató @JAMonago presidente de Extremadura.A las 9!!,NONE
840,Un recuerdo para Vaclav Havel. Ex Presidente checo y gran dramaturgo. http://t.co/ZDDkR84p,P
841,"Rajoy, nuevo comisario de los mercados presenta mañana la carta del BCE como programa de gobierno: Ajuste+Recortes+Precariedad+Banco malo.",N+
842,"En campaña hablaron de líneas rojas en el gasto social y los impuestos. Harán lo contrario, escudándose en el déficit y amenazando miedo.",N+
843,"En política exterior se acabaron los gestos. Lo que digan Merkozy, apagar  la luz en Afganistán, y si te vi no me ...en Sahara y Palestina.",N
844,"Gracias, Carmen: los socialistas andaluces estaños felices de que catalanes como vosotros queráis esta tierra y la respetéis",P
845,"Mañana en @LARAZON_es mi tribuna de homenaje a #Havel ""Un hombre justo"" ... un espíritu franco, mucho + allá de su valiente anticomunismo...",P+
846,"http://t.co/DyXG6HDl videocapítulo del concierto de Albacete, Feliz Navidad.",NONE
847,"Veía en +GenteTVE a @anapalacio feliz por la ayuda recibida en las redes sociales, q le permitieron encontrar a su perro.El poder de twitter",P
848,Para la campaña....Griñán promete dar 1.000 millones en préstamos a las pymes a partir de enero http://t.co/UnhjTrcx,P+
849,El Patronato de Turismo recoge juguetes para los niños ingresados en el Materno http://t.co/dinbmiUN @eliasbendodo,P
850,"Recortes por parte del @psoe ? No , no... El Gobierno recorta en investigación universitaria http://t.co/0iiF7OBG",N+
851,Que numero tienes? RT @Milamorr: @mariviromero quiero tus bailarinas mostaza!,NONE
852,"ja!“@David_Reguero: @Buenafuente mientras te leo, echan en la tele el anuncio de la Nintendo.¿Debo mirar también bajo mi cama? ;) #obsesion”",P
853,"infórmate bien“@rivero_: Sr. @buenafuente, no está bien criticar EREs con beneficios si luego haces lo mismo http://t.co/GQmC8Uif”",N
854,Las tentaciones son para caer en ellas “@Marprito: me estoy resistiendo en leer el #EPN de @pedroj_ pero creo que en estas caigo fijo!!”,N
855,Graciaaaaaas de verdad.. Que cumpleaÑos mas bueno. Anoche pedazo de fiestA.. Con regalo Gaditano (cont) http://t.co/SsBRKZtI,P+
856,“bien visto!!! @lavivaestampa: @Buenafuente con el tema de laSexta y A3... te vislumbro así. https://t.co/N4LoBWb1saludos maestro.”,P+
857,“@isaabeel5: @David_Busta como ha ido el dia con la familia??”MARAVILLOSO GRACIAS!;-),P+
858,Mis amigos llegan tarde. Comienza Cirque du Soleil. En la puerta: toma las entradas y yo entro. Y dicen NO. Por esperar pierdo 20 min. #WTF,N
859,"Qué chollo de hijo! “@pilareyre: hoy mi hijo, alumno del liceo francés, ha empezado #ElPrimerNaufragio, lo leía incluso durante la cena :))”",P+
860,RT @eP_Titulares: #Sociedad Muere apuñalada la propietaria de una zapatería en Banyoles http://t.co/AEB7AlFP,N+
861,Un ultimo esfuerzo *7714 VAMOS MEXICO,P
862,"Esta noche estaremos en la final de ""La Voz México"" no se lo pierdan ,Abrazoo!!",P
863,EL DIGITAL recoge su premio concedido por ASAJA Ciudad Real http://www.eldigitalcastillalamancha @eldigitalcastillalamancha. Enhorabuena,P+
864,Muy buenas noches followercetes...Seguiremos tuiteando con garbo la semana que viene http://t.co/13XDNhyk,P+
865,Ya le toca al Sr Don Oscar.. Ayudenle a conseguir su sueÑo. *7714,P
866,Rajoy desgranará hoy en el Congreso su 'catálogo de compromisos' ante la crisis http://t.co/N2XJiKq7 vía @elmundoes,P
867,¿Queréis saber cuanto sabéis sobre el Sorteo de Navidad? Aquí podéis comprobarlo. ¡¡Os va a costar ganarme!! :-) http://t.co/9dTB9zOe,P
868,Camino de Madrid para asistir al debate de investidura de Mariano Rajoy en el Congreso.,NONE
869,Buenos días,NONE
870,@SSantiagosegura nos vemos no?,NONE
871,"@germanyanke gracias amigo, un abrazo maestro",P+
872,"Miniempleos, mini-presupuestos, mini- sanidad y mini-educación públicas, mini-impuestos a ricos para macro- beneficios y macro-especulación",N+
873,Buenos días!Comienza semana decisiva.Rajoy será Presidente del Gobierno. #empiezaelcambio,NONE
874,1 placer charlar en el AVE con Quico Catalán.Presidente del Levante.Ejemplo de como luchar con pocos medios contra el bipartidismo Mad-Barça,P
875,la mesa vuelve a rechazar la petición de amaiur. Se hubiera entendido lo contrario? pura coherencia,NEU
876,"Si el rey lo sabía, ¿no debería haberlo denunciado? http://t.co/KiXr30Fe",N+
877,"Muere Kim Jong-Il. Su legado: uno de los países más pobres del mundo; pero, eso sí, con bomba atómica. Y ahora viene su hijo. Pobre Corea",N+
878,"Urdangarin ganó un concurso la vispera de que éste se presentara. Como diría Helenio Herrera, ganar el partido sin bajarse del autobús",N+
879,"Acabo de terminar una carrera de 5,21 km con un ritmo de 5'12""/km y un tiempo de 27:08.",NONE
880,sigo sin entender que patxi lopez saliera criticando la decisión sobre amaiur cuando su partido no vota en contra y se abstiene.,N
881,La Mesa del Congreso rechaza el recurso de Amaiur http://t.co/Zmny3wMK,N
882,El CIE no sale del bucle http://t.co/fve16D58,N
883,. @marianorajoy  enviará a la UE una señal de confianza con promesa de reformas http://t.co/s5iPyvoW,P
884,Gallardon y Elvira Rodriguez se besan en el pasillo del Congreso. Levantan casi tanta expectacion como si ya fueran ministros #investidura,P+
885,¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa,P
886,@CarmeChaparro Más para ti y la baby :),P+
887,"Jesus Posada hace un aparte con Trillo, expresidente del Congreso. Quiza le pide consejo para el debate de #investidura",NONE
888,En el Congreso...  http://t.co/kzw1y15M,NONE
889,"A punto de iniciarse la sesión de investidura de Rajoy, máxima expectación, jornada histórica http://t.co/IWiU8hgd",P
890,"Sabino Cuadra, el diputado de Amaiur por Navarra  (que faltaba) promete la Constitución. Un Diputado grita ""por dinero"". #Congreso",N
891,Tras el numerito del de Amaiur (Sabino y Cuadra se tenía que llamar) sube Rajoy a la tribuna. El que la sigue la consigue.,N
892,"Prioridades del gobierno de @MarianoRajoy: detener el paro,estimular el crecimiento economico y acelerar la creación de empleo #investidura",P+
893,Importa mucho que España recupere su espacio tras la crisis #invertidura @marianorajoy,NEU
894,"Rajoy: ""quiero y necesito que el dialogo sea la principal característica del estilo del nuevo Gobierno""",P+
895,@maria_rey Y en medio hay alguna propuesta?,NONE
896,Dice que empresas y familias están en superávit y no es verdad. Justifica otro recorte de 16.500 mill €. Más AJUSTE.,N+
897,Tenemos enormes fortalezas y debemos ser conscientes de ellas #investidura @marianorajoy,P+
898,"Esta parte del deiscurso sobre la confianza en los españoles creo que será interesante. No todo son cuentas, sino complicidad. #investidura",P+
899,"Presenta la entrada en el euro como precedente. ""Hacer bien lo que había que hacer en cada momento"". Primeros aplausos.",P+
900,La primera piedra de nuestro proyecto reformista será la Ley de Estabilidad Presupuestaria #investidura @marianorajoy,NONE
901,"Premisa de reforma de las administraciones públicas: una Administración, una competencia. #investidura",P
902,Rajoy anuncia decreto ley prórroga presupuestaria el 23 y actualización de las pensiones #investidura,NEU
903,Por ahora decepcionado por la poca concreción de las medidas que Rajoy propone para salir de la difícil situación que vivimos.,N
904,"Rajoy anuncia el ""único"" compromiso de aumento de gasto: la actualización del poder adquisitivo de las pensiones a partir de 2012",P
905,"#Rajoy La deuda, al 60% en 2020.",N
906,"Rajoy hará drástica reducción del sector público: tasa cero de resposición, supresión d organismos públicos, - gasto corriente",N+
907,La reforma laboral de @MarianoRajoy: recibirá ideas de sindicatos hasta 15 enero y aprobará decreto antes del 31 de marzo #investidura,NEU
908,"Racionalizar el calendario laboral: cambio de ""puentes"" a lunes más cercano. #investidura",NONE
909,"Rajoy anuncia la racionalización del calendario laboral, los puentes se trasladarán al lunes salvo fechas muy señaladas. #investidurarajoy",NONE
910,"Esto de los puentes es lo único no previsto que ha anunciado de momento, ¿no?",NONE
911,"Rajoy dará exenciones fiscales de 3.000€ por contratación del primer trabajador, como ayuda a la creación de empleo  #investidura",P
912,"#Rajoy Mercado laboral: teletrabajo, racionalización de horarios y conciliación, igualdad hombre/mujer, plan empleo juvenil",P+
913,#investidurarajoy: Plan de empleo juvenil y reforma de la Formación Profesional.,P
914,Apoyo a la contratación de jóvenes: 100% de bonificación a la Segouridad Social el primer año. Vaya! . #investidura,P+
915,Control previo en la contratación de las Administraciones: no habrá concurso sin presupuesto.,NONE
916,Nuevos modelos de gestión en las TV públicas. Privatización.,NONE
917,Unidad de mercado con las CCAA.,NONE
918,Rubalcaba Alonso y madina se han hecho con tres copias del discurso de rajoy y lo escudriñan para saber qué va a decir antes de que lo diga,NONE
919,Rajoy anuncia nuevo sistema de nombramientos de órganos reguladores para mejorar su independencia.El congreso tendrá mayor poder de decisión,P
920,Habla de Educación: España no tiene ninguna Universidad entre las 150 mejores del mundo. Hay que cambiar. #investidura,N
921,"En #investidura @MarianoRajoy se compromete a implantar la ""educación trilingüe"" en las comunidades con lengua propia",NONE
922,Energía competitiva: Liberalización y solución del déficit tarifario. Todas las energías.,P+
923,"#Rajoy Ya lleva una hora de discurso. No veo ahorros por ningún lado, sólo gastos, toda las reformas cuestan dinero ¿Nos lo dirá al final?",N
924,#Rajoy Sanidad. Más coordinación CC AA.,NONE
925,"¿Calcular la pensión sobre toda la vida laboral, como en Italia?",NONE
926,Rajoy se compromete a suprimir las pre-jubilacionesacercar y a acercar  la edad real de jubilacion a la legal  #investidura,P
927,"""La decepción de Durban es una mala noticia para todos"". Esta frase es de trámite....",N
928,Rajoy recupera el tercer curso de bachillerato. importante iniciativa.,P
929,"#Rajoy Ya habla de ""terminar"". ¿No va a decir con qué dinero va a pagar las reformas, de dónde quitará para poner dónde?",N
930,Cualquier elemento que distorsione la sana convivencia y la unidad se eliminara. Me gusta musica y letra,P+
931,.@MarianoRajoy Cuando las nubes ocultan el cielo... somos incapaces de ver otra cosa incluso de imaginar q puedan desaparecer. Desaparecerán,N
932,"En definitiva, ajuste hasta el RIGOR MORTIS al empleo y la economía, y excusa para recortar lo social adornado con retórica de diálogo.",N
933,"Y, contra pronósticos, seguimos sin saber la estructura del Gobierno de Rajoy, + allá de q habrá un M. Agricultura #investidura",N
934,El único recorte concreto es la no renovación de funcionarios y las empresas públicas. ¿De ahí salen 16.500 millones (más los incentivos)?,N+
935,"""A veces, cuando las nubes de la pesadumbre ocultan el cielo, parece q somos incapaces de imaginar q puedan desaparecer.Desaparecerán"" Rajoy",N
936,"Durán, CIU, ""algunas de las medidas fiscales anunciadas por Rajoy son compartidas y ya propuestas por CIU"" #investidura",NONE
937,Parece que no gusta lo de una competencia una administración. Pues ganaremos en eficiencia. Y hablaremos menos de competencias impropias,N
938,"#discursorajoy Lo bueno-poco- bien explicado. Lo malo- mucho- apenas insinuado. Conclusión: hasta los idus de marzo, no sabremos.",NEU
939,"De camino a intereconomia, telediario con @PilarGGranja , 15.00: discurso de investidura.",NONE
940,Rajoy ha recibido una llamada de la presidenta de la AVT agradeciéndole la mención inicial a las víctimas del terrorismo,P
941,#Rajoy Dice Alonso (PP) que Rajoy ha sido muy concreto: 16.500 millones de recorte. ¿Y de dónde salen?,N+
942,"Rajoy actualizará pensiones, quitará puentes y frenará el uso abusivo del paro http://t.co/W13y7VcF vía @europapress_es",P
943,Organizaciones agrarias aplauden recuperar el M. de Agricultura para dar mayor atención al sector  http://t.co/jOHrHVtG vía @europapress_es,P
944,Los primeros análisis en EL PAÍS sobre el discurso de Rajoy. Miguel Jiménez analiza la economía http://t.co/MT8BeRtO,NONE
945,Repasando discurso #investidura Rajoy: el aumento del paro es consecuencia de la intensa destrucción de empleo.,N+
946,"#análisisrajoy: ""el incremento del paro en España se debe,fundamentalmente, a un profundo proceso de destrucción de empleo"". Toma ya!",N+
947,"Rajoy: La conmemoración de 'La Pepa', el ""mejor marco para estrechar lazos"" con Iberoamérica  http://t.co/soSUlYzT vía @europapress_es",P
948,"Aún queda mucha sesión de investidura, pero ahí va un primer análisis rápido del discurso de Rajoy http://t.co/hUk0nLHP",NONE
